elapsed_s,unix_ns,request_ms,graphics_mhz,memory_mhz,voltage_mv,power_w,temperature_c,utilization_pct,throttle_mask
0.002471951499956049,1790456274134377587,4.107189000023936,232,810,800,6.418,39.0,1,1
0.10238282700038326,1790456274234042789,3.673122000236617,232,810,800,6.075,39.0,0,1
0.20279892500047936,1790456274334887283,4.5105359999979555,232,810,800,6.075,39.0,0,1
0.3024036785000135,1790456274434149369,3.8142809999044403,232,810,800,6.075,39.0,0,1
0.4016987890004202,1790456274532743710,2.4169220000658242,232,810,800,6.075,39.0,0,1
0.5021891559999858,1790456274633749753,3.4080539999195025,232,810,800,6.075,39.0,0,1
0.6023986345003323,1790456274734006782,3.8029709999136685,232,810,800,6.081,39.0,1,1
0.7024348595000447,1790456274834160151,3.864420999889262,232,810,800,6.081,39.0,1,1
0.8028484270002991,1790456274935035665,4.703013999915129,232,810,800,6.081,39.0,1,1
0.9025196145003065,1790456275034182662,4.046209000080125,232,810,800,6.081,39.0,1,1
1.0017456959999436,1790456275132863672,2.5223899997399712,232,810,800,6.081,39.0,1,1
1.1022773774998313,1790456275233889225,3.5615729998426104,225,810,800,6.232,39.0,0,1
1.2032846600000084,1790456275335887820,5.576038000072003,225,810,800,6.232,39.0,0,1
1.3022931284999686,1790456275433932915,3.5893930003112473,225,810,800,6.232,39.0,0,1
1.4018343815000662,1790456275533073612,2.7732990001823055,225,810,800,6.232,39.0,0,1
1.5022390340004677,1790456275633842826,3.507924000132334,225,810,800,6.232,39.0,0,1
1.6023090439998668,1790456275733956846,3.6011819997838757,225,405,800,6.38,39.0,1,1
1.7032340225000553,1790456275835820642,5.473819000144431,225,405,800,6.38,39.0,1,1
1.8023045149998325,1790456275933944127,3.595501999825501,225,405,800,6.38,39.0,1,1
1.9019789375001892,1790456276033311012,2.9600269999718876,225,405,800,6.38,39.0,1,1
2.002335740500257,1790456276134006607,3.6769910002476536,225,405,800,6.38,39.0,1,1
2.124887154499902,1790456276279041616,48.677981000309956,232,405,800,6.551,39.0,1,1
2.202340096000171,1790456276334026308,3.686361999825749,232,405,800,6.551,39.0,1,1
2.301434998500099,1790456276432179482,1.8661049998627277,232,405,800,6.551,39.0,1,1
2.40177638150044,1790456276532849848,2.574010999978782,232,405,800,6.551,39.0,1,1
2.501633318000131,1790456276632618290,2.2906220001459587,232,405,840,6.551,39.0,1,1
2.601358095500018,1790456276732077294,1.735197000016342,1395,16801,840,12.658,40.0,0,0
2.7013939604998995,1790456276832152744,1.8102669996551413,1395,16801,840,12.658,40.0,0,0
2.8014376055002685,1790456276932239994,1.903875000152766,1395,16801,840,12.658,40.0,0,0
2.9014402010002414,1790456277032242484,1.9099259998256457,1395,16801,840,12.658,40.0,0,0
3.0013444820001496,1790456277132057016,1.7190660000778735,1395,16801,910,12.658,40.0,0,0
3.101332902500417,1790456277232031767,1.688087000275118,2617,16801,910,24.884,40.0,0,0
3.2013822225003423,1790456277332101816,1.7942070003300614,2617,16801,910,24.884,40.0,0,0
3.301433992499824,1790456277432224406,1.89108499989743,2617,16801,910,24.884,40.0,0,0
3.401327153500006,1790456277532019448,1.683167000010144,2617,16801,910,24.884,40.0,0,0
3.5013466485002027,1790456277632044828,1.7099369997595204,2617,16801,910,24.884,40.0,0,0
3.601364829000431,1790456277732088288,1.7571559997122677,2617,16801,910,33.494,40.0,0,0
3.7014527140004247,1790456277832263807,1.934366000114096,2617,16801,910,33.494,40.0,0,0
3.801354749999973,1790456277932056949,1.7383760000484472,2617,16801,910,33.494,40.0,0,0
3.9014251499997954,1790456278032213388,1.875376000043616,2617,16801,910,33.494,40.0,0,0
4.001569034000113,1790456278132478407,2.156804000151169,2617,16801,910,33.494,40.0,0,0
4.101790157500091,1790456278232812565,2.5189910002154647,2617,16801,910,34.018,41.0,28,0
4.20170604399982,1790456278332686766,2.372481999827869,2617,16801,910,34.018,41.0,28,0
4.30159691550034,1790456278432537137,2.20278300002974,2617,16801,910,34.018,41.0,28,0
4.4015008765004495,1790456278532349769,2.0152450001660327,2617,16801,910,34.018,41.0,28,0
4.50219617599987,1790456278633743019,3.4132440000576025,2617,16801,925,34.018,41.0,28,0
4.601305398500244,1790456278731981213,1.6388469998673827,2955,16801,925,36.565,41.0,0,0
4.701458202499907,1790456278832275161,1.9406149999667832,2955,16801,925,36.565,41.0,0,0
4.801502818000245,1790456278932361801,2.026304000082746,2955,16801,925,36.565,41.0,0,0
4.901480783500574,1790456279032314311,1.9852549999086477,2955,16801,925,36.565,41.0,0,0
5.001444263999929,1790456279132255402,1.916755999900488,2955,16801,935,36.565,41.0,0,0
5.10152478900045,1790456279232414211,2.0803439997507667,3022,16801,935,38.542,41.0,1,0
5.201542144000086,1790456279332457642,2.1191539999563247,3022,16801,935,38.542,41.0,1,0
5.302135729999918,1790456279433624273,3.2958240003608807,3022,16801,935,38.542,41.0,1,0
5.402197650000289,1790456279533763522,3.426484000101482,3022,16801,935,38.542,41.0,1,0
5.501662814499923,1790456279632663221,2.336752999781311,3022,16801,935,38.542,41.0,1,0
5.602360144499926,1790456279734064951,3.728991000116366,3000,16801,935,82.325,52.0,99,0
5.701987727500182,1790456279833349527,3.0105570003797766,3000,16801,935,82.325,52.0,99,0
5.802087006999955,1790456279933513276,3.1869159997768293,3000,16801,935,82.325,52.0,99,0
5.901967643500484,1790456280033308758,2.9689070001950313,3000,16801,935,82.325,52.0,99,0
6.001410613000189,1790456280132197667,1.8572259996290086,3000,16801,935,82.325,52.0,99,0
6.101325994500257,1790456280232021378,1.6827270001158467,3022,16801,935,96.127,41.0,0,0
6.202823243000239,1790456280335019076,4.67958399985946,3022,16801,935,96.127,41.0,0,0
6.301594978000139,1790456280432535355,2.203953999924124,3022,16801,935,96.127,41.0,0,0
6.40271268000015,1790456280534796259,4.459595999833255,3022,16801,935,96.127,41.0,0,0
6.501873911500297,1790456280633104952,2.7539789998627384,3022,16801,930,96.127,41.0,0,0
6.602017871000044,1790456280733406250,3.0681560001539765,2940,16801,930,138.774,58.0,100,0
6.7020662560003075,1790456280833447510,3.1646060001548904,2940,16801,930,138.774,58.0,100,0
6.802235030000247,1790456280933815468,3.4840939997593523,2940,16801,930,138.774,58.0,100,0
6.901636990000043,1790456281032618417,2.2655120001218165,2940,16801,930,138.774,58.0,100,0
7.001756889500484,1790456281132884835,2.571110999724624,2940,16801,925,138.774,58.0,100,0
7.1018697590002375,1790456281233038615,2.7600479998000083,2895,16801,925,229.529,58.0,100,0
7.202145352500338,1790456281333280843,2.595900999949663,2895,16801,925,229.529,58.0,100,0
7.301875239500532,1790456281433059935,2.7920289999201486,2895,16801,925,229.529,58.0,100,0
7.402692828999989,1790456281534744213,4.425386000093567,2895,16801,925,229.529,58.0,100,0
7.502802653500112,1790456281634981451,4.6584350002376596,2895,16801,925,229.529,58.0,100,0
7.602398247500332,1790456281734142388,3.8125609999042354,2940,16801,925,266.633,53.0,79,4
7.702343432999896,1790456281834045169,3.7264719999257068,2940,16801,925,266.633,53.0,79,4
7.802352123000219,1790456281934045240,3.7132120000933355,2940,16801,925,266.633,53.0,79,4
7.90222902450023,1790456282033820962,3.470593000201916,2940,16801,925,266.633,53.0,79,4
8.002355183999953,1790456282134055460,3.721571999903972,2940,16801,915,266.633,53.0,79,4
8.102456748500572,1790456282234257599,3.926281000076415,2805,16801,915,250.155,53.0,99,4
8.20236200950012,1790456282334084401,3.7353010002334486,2805,16801,915,250.155,53.0,99,4
8.302342155000133,1790456282434042052,3.721252000104869,2805,16801,915,250.155,53.0,99,4
8.402319006000198,1790456282534002372,3.6670919998869067,2805,16801,915,250.155,53.0,99,4
8.50230467099982,1790456282633977903,3.640962000190484,2805,16801,915,250.155,53.0,99,4
8.602343081000072,1790456282734053883,3.715681999892695,2805,16801,915,252.895,53.0,99,4
